,epoch,train_loss,val_loss
0,1,1122.6852116584778,0.0
1,2,801.6919617652893,0.0
2,3,771.8952083587646,0.0
3,4,789.3612785339355,0.0
4,5,762.6418943405151,0.0
5,6,723.1182317733765,0.0
6,7,752.7431921958923,0.0
7,8,722.802493095398,0.0
8,9,686.8895683288574,0.0
9,10,701.1385791301727,697.937783241272
10,11,681.3628890514374,0.0
11,12,684.6492683887482,0.0
12,13,705.3323488235474,0.0
13,14,725.3835072517395,0.0
14,15,695.4858808517456,0.0
15,16,678.7234630584717,0.0
16,17,684.3035497665405,0.0
17,18,679.5103528499603,0.0
18,19,699.4499137401581,0.0
19,20,673.9661228656769,681.5616834163666
20,21,656.7569351196289,0.0
21,22,671.823397397995,0.0
22,23,714.8259062767029,0.0
23,24,676.8967032432556,0.0
24,25,665.6129879951477,0.0
25,26,658.7509481906891,0.0
26,27,646.4112071990967,0.0
27,28,674.7826151847839,0.0
28,29,685.4388728141785,0.0
29,30,683.7394213676453,673.6147546768188
30,31,660.143801689148,0.0
31,32,645.5547852516174,0.0
32,33,658.8137991428375,0.0
33,34,615.564469575882,0.0
34,35,658.9341368675232,0.0
35,36,597.6800961494446,0.0
36,37,663.6337339878082,0.0
37,38,662.713972568512,0.0
38,39,662.0496668815613,0.0
39,40,660.8844726085663,657.8615009784698
40,41,646.9911382198334,0.0
41,42,614.2980704307556,0.0
42,43,643.6714625358582,0.0
43,44,645.3449573516846,0.0
44,45,639.9156606197357,0.0
45,46,687.3525080680847,0.0
46,47,642.1082966327667,0.0
47,48,642.4885358810425,0.0
48,49,643.9627921581268,0.0
49,50,681.4527494907379,670.3545796871185
50,51,650.8181533813477,0.0
51,52,639.0461647510529,0.0
52,53,642.5431652069092,0.0
53,54,618.505628824234,0.0
54,55,627.5878596305847,0.0
55,56,605.7005295753479,0.0
56,57,622.7198631763458,0.0
57,58,645.0533950328827,0.0
58,59,632.5994546413422,0.0
59,60,645.6005427837372,667.0254673957825
60,61,635.0667178630829,0.0
61,62,623.6124851703644,0.0
62,63,639.092360496521,0.0
63,64,641.1975274085999,0.0
64,65,646.8446023464203,0.0
65,66,617.072140455246,0.0
66,67,621.9589903354645,0.0
67,68,619.6312670707703,0.0
68,69,632.2004504203796,0.0
69,70,582.9988698959351,638.0915148258209
70,71,632.8410141468048,0.0
71,72,627.507321357727,0.0
72,73,620.210738658905,0.0
73,74,640.5162427425385,0.0
74,75,627.5076699256897,0.0
75,76,640.0801212787628,0.0
76,77,627.0851776599884,0.0
77,78,636.1248059272766,0.0
78,79,623.224285364151,0.0
79,80,624.3265130519867,620.1002283096313
80,81,585.4566147327423,0.0
81,82,608.689603805542,0.0
82,83,628.2294912338257,0.0
83,84,621.2170069217682,0.0
84,85,609.6889307498932,0.0
85,86,613.8234977722168,0.0
86,87,621.5586564540863,0.0
87,88,595.786199092865,0.0
88,89,609.9841873645782,0.0
89,90,628.7106881141663,642.5405786037445
90,91,628.4598209857941,0.0
91,92,597.5039193630219,0.0
92,93,624.1274237632751,0.0
93,94,622.3152480125427,0.0
94,95,600.2704517841339,0.0
95,96,606.897643327713,0.0
96,97,623.0183725357056,0.0
97,98,581.4693787097931,0.0
98,99,632.6048064231873,0.0
99,100,617.1638317108154,645.3608629703522
100,101,605.8760056495667,0.0
101,102,615.4013681411743,0.0
102,103,610.8400611877441,0.0
103,104,608.5742857456207,0.0
104,105,620.9922766685486,0.0
105,106,596.2471334934235,0.0
106,107,627.0323367118835,0.0
107,108,610.8203928470612,0.0
108,109,584.7919301986694,0.0
109,110,601.0680811405182,628.9031252861023
110,111,562.0235774517059,0.0
111,112,609.2535881996155,0.0
112,113,617.9421577453613,0.0
113,114,591.1667373180389,0.0
114,115,581.3206419944763,0.0
115,116,591.7259237766266,0.0
116,117,588.95228099823,0.0
117,118,588.9576954841614,0.0
118,119,591.3127045631409,0.0
119,120,619.3043010234833,633.7882931232452
