,epoch,train_loss,val_loss
0,1,3465.9147820472717,0.0
1,2,1807.6737756729126,0.0
2,3,1641.1495218276978,0.0
3,4,1566.4182214736938,0.0
4,5,1464.120048046112,0.0
5,6,1425.2927038669586,0.0
6,7,1498.9146032333374,0.0
7,8,1405.3764209747314,0.0
8,9,1487.5479731559753,0.0
9,10,1499.0318908691406,1486.5947630405426
10,11,1460.2696492671967,0.0
11,12,1439.4071128368378,0.0
12,13,1485.689338684082,0.0
13,14,1476.6692876815796,0.0
14,15,1482.2566123008728,0.0
15,16,1390.4707374572754,0.0
16,17,1434.3519668579102,0.0
17,18,1461.3040249347687,0.0
18,19,1424.5861186981201,0.0
19,20,1397.6552720069885,1361.1302580833435
20,21,1414.1013424396515,0.0
21,22,1420.1618700027466,0.0
22,23,1399.9781579971313,0.0
23,24,1390.0043714046478,0.0
24,25,1414.864014863968,0.0
25,26,1430.6226007938385,0.0
26,27,1410.347930431366,0.0
27,28,1529.0407266616821,0.0
28,29,1371.5381441116333,0.0
29,30,1381.771347284317,1369.9170684814453
30,31,1406.872829914093,0.0
31,32,1350.9555501937866,0.0
32,33,1377.003586769104,0.0
33,34,1418.989854812622,0.0
34,35,1368.16965675354,0.0
35,36,1380.0847001075745,0.0
36,37,1382.0821075439453,0.0
37,38,1403.217655658722,0.0
38,39,1368.8918533325195,0.0
39,40,1433.8326930999756,1390.700129032135
40,41,1369.47727060318,0.0
41,42,1401.8177754878998,0.0
42,43,1428.3474159240723,0.0
43,44,1408.7768154144287,0.0
44,45,1414.202841758728,0.0
45,46,1417.1790852546692,0.0
46,47,1394.6213619709015,0.0
47,48,1360.2049238681793,0.0
48,49,1371.4229636192322,0.0
49,50,1338.730396270752,1363.8829038143158
50,51,1383.1884961128235,0.0
51,52,1406.0050177574158,0.0
52,53,1376.3290238380432,0.0
53,54,1394.4776864051819,0.0
54,55,1359.6853723526,0.0
55,56,1342.9631769657135,0.0
56,57,1387.5115330219269,0.0
57,58,1421.8780369758606,0.0
58,59,1463.0488748550415,0.0
59,60,1393.5972695350647,1361.8851737976074
60,61,1319.575409412384,0.0
61,62,1363.3035995960236,0.0
62,63,1353.7165262699127,0.0
63,64,1351.4984879493713,0.0
64,65,1352.8131589889526,0.0
65,66,1364.420777797699,0.0
66,67,1348.1090478897095,0.0
67,68,1380.2890620231628,0.0
68,69,1369.710774898529,0.0
69,70,1378.9741053581238,1350.918046951294
70,71,1355.3644227981567,0.0
71,72,1359.1191802024841,0.0
72,73,1330.7708706855774,0.0
73,74,1333.6957268714905,0.0
74,75,1335.8015110492706,0.0
75,76,1342.0715594291687,0.0
76,77,1394.294289112091,0.0
77,78,1317.4932217597961,0.0
78,79,1370.7676820755005,0.0
79,80,1353.4749855995178,1332.4058890342712
80,81,1308.855569601059,0.0
81,82,1365.9946196079254,0.0
82,83,1309.4668757915497,0.0
83,84,1371.1996603012085,0.0
84,85,1295.2441353797913,0.0
85,86,1332.0691885948181,0.0
86,87,1379.3507370948792,0.0
87,88,1348.0929863452911,0.0
88,89,1359.8802871704102,0.0
89,90,1347.836009502411,1323.5963673591614
90,91,1354.191963672638,0.0
91,92,1344.2110924720764,0.0
92,93,1321.6727039813995,0.0
93,94,1364.713354587555,0.0
94,95,1379.3409461975098,0.0
95,96,1315.4846758842468,0.0
96,97,1360.8159613609314,0.0
97,98,1346.5167813301086,0.0
98,99,1336.0231566429138,0.0
99,100,1317.5623173713684,1336.3665387630463
100,101,1371.5376291275024,0.0
101,102,1353.4457852840424,0.0
102,103,1339.524142742157,0.0
103,104,1426.900987148285,0.0
104,105,1605.0760369300842,0.0
105,106,1338.2622451782227,0.0
106,107,1362.6029262542725,0.0
107,108,1395.4262127876282,0.0
108,109,1308.933266401291,0.0
